RIC,Trade Date,Open Price,High Price,Low Price,Universal Close Price,Volume
EUR=,2000-02-22,.9873,1.0078,.987,1.0038,
EUR=,2000-02-21,.9845,.9888,.984,.9872,
EUR=,2000-02-18,.9877,.99,.9804,.9862,
EUR=,2000-02-17,.9863,.9956,.9835,.9877,
EUR=,2000-02-16,.9809,.9874,.9788,.9866,
EUR=,2000-02-15,.9778,.986,.9761,.9812,
EUR=,2000-02-14,.9861,.992,.9773,.9785,
EUR=,2000-02-11,.9849,.9874,.9784,.9864,
EUR=,2000-02-10,.994,.9958,.9828,.985,
EUR=,2000-02-09,.9855,.9964,.9849,.9938,
EUR=,2000-02-08,.9811,.9913,.9784,.9854,
EUR=,2000-02-07,.9834,.9834,.9752,.9808,
EUR=,2000-02-04,.9906,.9939,.9745,.9825,
EUR=,2000-02-03,.976,.9946,.9707,.99,
EUR=,2000-02-02,.9714,.9806,.9687,.9762,
EUR=,2000-02-01,.9701,.978,.966,.9721,
EUR=,2000-01-31,.9777,.9827,.9668,.9693,
EUR=,2000-01-28,.9875,.989,.9733,.9745,
EUR=,2000-01-27,1.0015,1.0027,.9866,.9881,
EUR=,2000-01-26,1.001,1.0053,.9989,1.0009,
EUR=,2000-01-25,1.0073,1.0096,.9985,1.0003,
EUR=,2000-01-24,1.0021,1.0075,.9995,1.0075,
EUR=,2000-01-21,1.0171,1.0191,1.0046,1.0089,
EUR=,2000-01-20,1.0134,1.0187,1.007,1.0172,
EUR=,2000-01-19,1.0135,1.0163,1.0082,1.0119,
EUR=,2000-01-18,1.012,1.014,1.007,1.0128,
EUR=,2000-01-17,1.0125,1.0146,1.0066,1.0115,
EUR=,2000-01-14,1.0258,1.0271,1.0109,1.0125,
EUR=,2000-01-13,1.0308,1.0317,1.0234,1.0252,
EUR=,2000-01-12,1.032,1.0368,1.0256,1.031,
EUR=,2000-01-11,1.0255,1.0338,1.0237,1.0332,
EUR=,2000-01-10,1.0285,1.03,1.021,1.0253,
EUR=,2000-01-07,1.0324,1.033,1.025,1.0289,
EUR=,2000-01-06,1.032,1.0414,1.027,1.0319,
EUR=,2000-01-05,1.0293,1.0402,1.028,1.0314,
EUR=,2000-01-04,1.024,1.0343,1.021,1.0308,
EUR=,2000-01-03,1.005,1.028,1.0048,1.0262,
EUR=,1999-12-31,1.0083,1.0095,1.004,1.007,
EUR=,1999-12-30,1.0037,1.0084,1.001,1.008,
EUR=,1999-12-29,1.0067,1.0105,1.003,1.0043,
EUR=,1999-12-28,1.0127,1.0139,1.0029,1.0069,
EUR=,1999-12-27,1.0123,1.0158,1.0109,1.0125,
EUR=,1999-12-24,1.015,1.017,1.0111,1.0128,
EUR=,1999-12-23,1.0093,1.018,1.0068,1.0159,
EUR=,1999-12-22,1.008,1.011,1.0053,1.0094,
EUR=,1999-12-21,1.0132,1.0151,1.0071,1.0094,
EUR=,1999-12-20,1.0079,1.0142,1.0038,1.013,
EUR=,1999-12-17,1.0158,1.0246,1.0055,1.0079,
EUR=,1999-12-16,1.007,1.019,1.006,1.0161,
EUR=,1999-12-15,1.0055,1.0086,1.0008,1.0071,
EUR=,1999-12-14,1.0141,1.0148,1.0023,1.0057,
EUR=,1999-12-13,1.0134,1.0162,1.0103,1.0136,
EUR=,1999-12-10,1.021,1.0223,1.0109,1.0125,
EUR=,1999-12-09,1.0277,1.0283,1.015,1.0206,
EUR=,1999-12-08,1.0252,1.0287,1.0219,1.0271,
EUR=,1999-12-07,1.0224,1.03,1.0195,1.0252,
EUR=,1999-12-06,1.0025,1.0262,.9986,1.0228,
EUR=,1999-12-03,1.0015,1.0041,.9987,1.0022,
EUR=,1999-12-02,1.0081,1.0107,.9995,1.0008,
EUR=,1999-12-01,1.0091,1.0127,1.0042,1.0076,
EUR=,1999-11-30,1.0094,1.0144,1.004,1.0089,
EUR=,1999-11-29,1.0153,1.02,1.0034,1.0093,
EUR=,1999-11-26,1.0179,1.0196,1.0073,1.0164,
EUR=,1999-11-25,1.0177,1.0218,1.0162,1.0185,
EUR=,1999-11-24,1.0281,1.0282,1.0149,1.0186,
EUR=,1999-11-23,1.0316,1.0335,1.0253,1.0281,
EUR=,1999-11-22,1.03,1.0343,1.0283,1.0317,
EUR=,1999-11-19,1.03,1.0335,1.0242,1.0304,
EUR=,1999-11-18,1.041,1.0435,1.0255,1.0295,
EUR=,1999-11-17,1.0302,1.0442,1.0293,1.0409,
EUR=,1999-11-16,1.033,1.0356,1.0287,1.0295,
EUR=,1999-11-15,1.032,1.0341,1.0293,1.0329,
EUR=,1999-11-12,1.0403,1.0413,1.0285,1.0317,
EUR=,1999-11-11,1.0445,1.0449,1.0387,1.0408,
EUR=,1999-11-10,1.0403,1.0452,1.0382,1.0446,
EUR=,1999-11-09,1.0384,1.0433,1.036,1.0403,
EUR=,1999-11-08,1.0444,1.046,1.0343,1.0386,
EUR=,1999-11-05,1.0381,1.0435,1.0355,1.0413,
EUR=,1999-11-04,1.0483,1.054,1.0346,1.0376,
EUR=,1999-11-03,1.0524,1.0531,1.0454,1.0483,
EUR=,1999-11-02,1.0518,1.0556,1.0482,1.0518,
EUR=,1999-11-01,1.0548,1.0593,1.048,1.0512,
EUR=,1999-10-29,1.0522,1.0558,1.0431,1.0548,
EUR=,1999-10-28,1.0523,1.0545,1.0468,1.0521,
EUR=,1999-10-27,1.0594,1.064,1.048,1.0517,
EUR=,1999-10-26,1.0675,1.0694,1.056,1.0593,
EUR=,1999-10-25,1.0685,1.0701,1.063,1.0675,
EUR=,1999-10-22,1.0801,1.0812,1.065,1.0683,
EUR=,1999-10-21,1.0762,1.0832,1.0752,1.0798,
EUR=,1999-10-20,1.0826,1.084,1.0728,1.0747,
EUR=,1999-10-19,1.0817,1.085,1.0772,1.0824,
EUR=,1999-10-18,1.0898,1.0903,1.08,1.0814,
EUR=,1999-10-15,1.0774,1.0911,1.0763,1.0884,
EUR=,1999-10-14,1.0808,1.0828,1.0747,1.0773,
EUR=,1999-10-13,1.0769,1.0815,1.0731,1.0806,
EUR=,1999-10-12,1.0631,1.0772,1.0627,1.077,
EUR=,1999-10-11,1.0613,1.0655,1.0606,1.0631,
EUR=,1999-10-08,1.0709,1.0718,1.06,1.0632,
EUR=,1999-10-07,1.0685,1.0747,1.0654,1.0711,
EUR=,1999-10-06,1.0728,1.0778,1.0674,1.0688,
EUR=,1999-10-05,1.0733,1.0758,1.0664,1.0736,
EUR=,1999-10-04,1.0707,1.0773,1.0686,1.0734,
EUR=,1999-10-01,1.0676,1.0767,1.0665,1.0718,
EUR=,1999-09-30,1.0638,1.07,1.0602,1.0682,
EUR=,1999-09-29,1.0517,1.0655,1.051,1.0639,
EUR=,1999-09-28,1.0458,1.0569,1.0439,1.0522,
EUR=,1999-09-27,1.0436,1.0477,1.039,1.046,
EUR=,1999-09-24,1.0508,1.0544,1.042,1.0437,
EUR=,1999-09-23,1.0431,1.0507,1.039,1.0503,
EUR=,1999-09-22,1.049,1.0541,1.0405,1.0438,
EUR=,1999-09-21,1.0359,1.05,1.0359,1.0491,
EUR=,1999-09-20,1.0414,1.045,1.0345,1.0353,
EUR=,1999-09-17,1.0388,1.0425,1.0358,1.0422,
EUR=,1999-09-16,1.0405,1.0471,1.0345,1.0385,
EUR=,1999-09-15,1.0356,1.0422,1.0283,1.0406,
